"id_village_grp","c9_member","c10_hh","c15_clasify","final_heterocast:Scheduled Caste/Scheduled Tribe","final_heterocast:Other Backward Class","final_heterocast:Minority","final_heterocast:General","final_heterocast:Dont have a caste group","final_heterocast:Other","final_heterocast:Dont know","final_heterorelig:Hinduism","final_heterorelig:Islam","final_heterorelig:Christianity","final_heterorelig:Buddhism","final_heterorelig:Sikhism","final_heterorelig:Jainism","final_heterorelig:Other","final_heterorelig:Don’t know","a1_5_literate","final_hetero_bisSingle","final_hetero_bisMarried, living with spouse,","final_hetero_bisMarried, not living with spouse","final_hetero_bisSeparated/Divorce,","final_hetero_bisWidow/Widower","final_hetero_bisDon’t know","final_hetero_bisNA","educ_0","educ_1","educ_2","educ_3","educ_4","educ_other","d1_ab3_vacc_num","d1_ab1_tot_inj","d3_ab3_vacc_num","d3_ab1_tot_inj","d5_ab1_poliodrops","d5_ab3_num_drops","d7_ab1_receive_card","more_than_5_vacc","measles_by_age_15_months","measles_ever"
"2_05_03_V01Y_0",0.0588235294117647,0,4.47058823529412,0.235294117647059,0.0588235294117647,0,0.588235294117647,0,0,0.117647058823529,1,0,0,0,0,0,0,0,0.790322580645161,0.0449438202247191,0.51685393258427,0,0,0.0561797752808989,0,0.382022471910112,0.146067415730337,0.0786516853932584,0.112359550561798,0.157303370786517,0.202247191011236,0.303370786516854,2.23529411764706,2.94117647058824,4.29411764705882,5.17647058823529,1,3,1,0.529411764705882,0.176470588235294,0.411764705882353
"2_05_04_V01Y_0",0.111111111111111,0,4,0.166666666666667,0.0555555555555556,0,0.777777777777778,0,0,0,1,0,0,0,0,0,0,0,0.835616438356164,0.07,0.53,0,0,0.08,0,0.32,0.12,0.03,0.15,0.23,0.21,0.26,2.42857142857143,2.4375,4.76470588235294,4.76470588235294,1,3,0.882352941176471,0.470588235294118,0.25,0.411764705882353
"2_05_05_V02Y_0",0,0.0588235294117647,3.05882352941176,0.411764705882353,0.176470588235294,0,0.411764705882353,0,0,0,1,0,0,0,0,0,0,0,0.847457627118644,0.0379746835443038,0.531645569620253,0,0,0.0379746835443038,0,0.392405063291139,0.113924050632911,0.151898734177215,0.164556962025316,0.227848101265823,0.0886075949367089,0.253164556962025,2.29411764705882,3.76470588235294,4.82352941176471,4.82352941176471,1,3,0.941176470588235,0.529411764705882,0.25,0.5625
"2_05_06_V01Y_0",0.210526315789474,0.105263157894737,3.78947368421053,0.263157894736842,0.368421052631579,0,0.210526315789474,0,0,0.157894736842105,0.684210526315789,0.263157894736842,0,0,0,0,0,0.0526315789473684,0.810344827586207,0.0240963855421687,0.481927710843373,0,0,0.072289156626506,0,0.421686746987952,0.132530120481928,0.0481927710843374,0.168674698795181,0.253012048192771,0.0963855421686747,0.301204819277108,2.38888888888889,2.73684210526316,5.21052631578947,6.15789473684211,1,3,0.947368421052632,0.842105263157895,0.210526315789474,0.842105263157895
"2_05_06_V02Y_0",0.0526315789473684,0.0526315789473684,3.94736842105263,0.473684210526316,0,0,0.526315789473684,0,0,0,1,0,0,0,0,0,0,0,0.826666666666667,0.0283018867924528,0.528301886792453,0,0,0.0471698113207547,0,0.39622641509434,0.132075471698113,0.0660377358490566,0.169811320754717,0.254716981132075,0.0849056603773585,0.283018867924528,2.2,3.58823529411765,3.8125,5.83333333333333,1,3,1,0.3125,0.142857142857143,0.25
"2_06_01_V01Y_1",0.03125,0.0909090909090909,3.51515151515152,0.333333333333333,0.181818181818182,0,0.303030303030303,0,0,0.181818181818182,0.96969696969697,0,0,0,0,0,0,0.0303030303030303,0.828767123287671,0.0404040404040404,0.484848484848485,0.0101010101010101,0.00505050505050505,0.0757575757575758,0,0.383838383838384,0.126262626262626,0.0909090909090909,0.166666666666667,0.282828282828283,0.0707070707070707,0.262626262626263,2.21212121212121,5.03030303030303,5.48484848484848,8.90909090909091,1,3,1,0.727272727272727,0.533333333333333,0.71875
"2_06_02_V01Y_1",0.0625,0.032258064516129,3.71875,0.125,0,0,0.5625,0,0,0.3125,0.96875,0,0,0,0,0,0,0.03125,0.76551724137931,0.0707070707070707,0.570707070707071,0,0,0.0353535353535354,0,0.323232323232323,0.176767676767677,0.0555555555555556,0.0909090909090909,0.267676767676768,0.141414141414141,0.267676767676768,2.27586206896552,3.56666666666667,4.83870967741935,9.03225806451613,1,3,1,0.612903225806452,0.178571428571429,0.448275862068966
"2_06_03_V01Y_0",0,0.0555555555555556,3.83333333333333,0.277777777777778,0.111111111111111,0,0.5,0,0,0.111111111111111,1,0,0,0,0,0,0,0,0.867647058823529,0.0421052631578947,0.568421052631579,0,0,0.0315789473684211,0,0.357894736842105,0.0947368421052632,0.0736842105263158,0.178947368421053,0.263157894736842,0.105263157894737,0.284210526315789,2.23529411764706,4.05882352941176,4.64705882352941,5,1,3,1,0.529411764705882,0.285714285714286,0.5
"2_06_03_V02Y_0",0,0.105263157894737,3.36842105263158,0.0526315789473684,0,0,0.947368421052632,0,0,0,1,0,0,0,0,0,0,0,0.855421686746988,0.0535714285714286,0.571428571428571,0,0,0.0267857142857143,0,0.348214285714286,0.107142857142857,0.0714285714285714,0.214285714285714,0.285714285714286,0.0625,0.258928571428571,2.17647058823529,3.77777777777778,4.27777777777778,7.83333333333333,1,3,1,0.388888888888889,0.142857142857143,0.3125
"2_06_04_V01Y_0",0.0588235294117647,0,3.64705882352941,0.176470588235294,0.117647058823529,0,0.529411764705882,0,0,0.176470588235294,0.941176470588235,0,0,0,0,0,0,0.0588235294117647,0.780487804878049,0.0454545454545455,0.545454545454545,0,0,0.0454545454545455,0,0.363636363636364,0.172727272727273,0.0818181818181818,0.154545454545455,0.272727272727273,0.0636363636363636,0.254545454545455,3,3.17647058823529,4.76470588235294,9.35294117647059,1,3,1,0.588235294117647,0.235294117647059,0.529411764705882
