term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
treat_HD,-0.1434948285915193,0.2770271714650368,-0.5179810624086366,0.604549854472194,sav_stock,Savings,9.238061676149876,1578,0.21410300356347622,0.5429999999999999
treat_any,1.1665250341884816,0.28999692783727415,4.022542731359738,6.0514968792786957e-5,sav_stock,Savings,9.238061676149876,1578,0.21410300356347622,0.0010000000000000009
treat_tau,0.06737674821874765,0.07555027500981892,0.8918134078266557,0.37263970421996695,sav_stock,Savings,9.238061676149876,1578,0.21410300356347622,0.5369999999999999
treat_HD,0.5723780032683925,0.39302394386745576,1.4563438492730165,0.14551230363472917,debt_stock,Debt,8.753167564808846,1578,0.21743395905229457,0.355
treat_any,-0.13228290379148439,0.38540613450983996,-0.34322988646696545,0.7314748698293289,debt_stock,Debt,8.753167564808846,1578,0.21743395905229457,0.577
treat_tau,-0.06383663867900323,0.1116266599955824,-0.5718762765232746,0.5674937102959954,debt_stock,Debt,8.753167564808846,1578,0.21743395905229457,0.5429999999999999
treat_HD,-0.012415609420452426,0.0782860610605675,-0.15859284848738084,0.8740115666340484,bn_loc,Locus of control,3.949426021813357e-9,1578,0.29699957381013653,1
treat_any,0.06915769338157558,0.07672456140792842,0.901376197041761,0.3675367948441941,bn_loc,Locus of control,3.949426021813357e-9,1578,0.29699957381013653,0.976
treat_tau,-0.0038808351992103574,0.021425464317953162,-0.18113190648374733,0.856289147488678,bn_loc,Locus of control,3.949426021813357e-9,1578,0.29699957381013653,1
treat_HD,-0.06405158384445832,0.0897114667187517,-0.7139732097487835,0.4753577107432747,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1578,0.08951878808535207,0.976
treat_any,0.057269645550713545,0.0849930561402785,0.6738155815481174,0.5005350799495812,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1578,0.08951878808535207,0.976
treat_tau,-0.001469022723904085,0.022276916315248224,-0.06594371963854623,0.9474316489729282,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1578,0.08951878808535207,1
treat_HD,-0.010809405898129738,0.08598436216206032,-0.1257136254352454,0.8999759003525565,bn_big_five,Big Five index,1.3776618168067141e-9,1578,0.11745336011861185,1
treat_any,0.12279678856434689,0.08613863509125025,1.4255715618695737,0.15420551156492207,bn_big_five,Big Five index,1.3776618168067141e-9,1578,0.11745336011861185,0.749
treat_tau,-0.036881838716686675,0.024391215871187734,-1.5120951293065124,0.13072577977113367,bn_big_five,Big Five index,1.3776618168067141e-9,1578,0.11745336011861185,0.749
treat_HD,0.5487177165073258,0.09064295506593062,6.053616810133861,1.7970687370422216e-9,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1578,0.23026796227908086,0.0010000000000000009
treat_any,0.10523169435377219,0.08771825167315614,1.1996556286355577,0.230467486899406,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1578,0.23026796227908086,0.749
treat_tau,-0.023922096650042916,0.024176677443470133,-0.9894699842845454,0.3225969754530903,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1578,0.23026796227908086,0.976
treat_HD,-0.10355310296583092,0.08346684364538233,-1.2406495614688293,0.21493428616138158,bn_business_attitude,Business attitudes,7.265088963805393e-10,1578,0.09920585111725722,0.749
treat_any,0.22182392194191777,0.08347629656563979,2.657328260454048,0.007962063689566208,bn_business_attitude,Business attitudes,7.265088963805393e-10,1578,0.09920585111725722,0.05999999999999994
treat_tau,-0.032800749418932115,0.02374464957976584,-1.3813953879902061,0.1673684986873905,bn_business_attitude,Business attitudes,7.265088963805393e-10,1578,0.09920585111725722,0.749
