outcome,outcome_label,specification,estimate,std.error,p.value
bn_alt_aspiration,Aspirations,Drop_lower,-0.03176553269086513,0.11721839618328622,0.7864376201095764
bn_alt_aspiration,Aspirations,Drop_mid,-0.13180361061165285,0.10050941075647732,0.1899664648140068
bn_alt_aspiration,Aspirations,Drop_upper,-0.024561389934638928,0.09316835764961116,0.7921110494880921
bn_alt_aspiration,Aspirations,Drop_huge,-0.03034817576492703,0.11720976514300754,0.795736236001806
bn_big_five,Big Five index,Base_Linear,-0.010809405898129738,0.08598436216206032,0.8999759003525565
bn_big_five,Big Five index,Quadratic,0.001547562437442863,0.14191484255688458,0.9913008354734165
bn_big_five,Big Five index,Cubic,0.0908038765266361,0.2960394407038615,0.7590933458839949
bn_big_five,Big Five index,Drop_lower,-0.016237124088928443,0.11303853397153911,0.8858047646626025
bn_big_five,Big Five index,Drop_mid,0.005472820088575827,0.0975787026009737,0.9552816457325416
bn_big_five,Big Five index,Drop_upper,-0.01418387162763874,0.08986934391400522,0.874616730282813
bn_big_five,Big Five index,Drop_huge,0.0013539767301272796,0.1150259375274437,0.9906100682377305
bn_business_knowledge,Business knowledge,Base_Linear,0.5487177165073258,0.09064295506593062,1.7970687370422216e-9
bn_business_knowledge,Business knowledge,Quadratic,0.569410920559161,0.14308998581937413,7.247845417761847e-5
bn_business_knowledge,Business knowledge,Cubic,0.5448109912042928,0.2933420126457622,0.0634758193648001
bn_business_knowledge,Business knowledge,Drop_lower,0.562947692941061,0.12019981752574013,3.111826741567259e-6
bn_business_knowledge,Business knowledge,Drop_mid,0.552698498571004,0.10211081620637504,7.369516716355859e-8
bn_business_knowledge,Business knowledge,Drop_upper,0.5440357645933255,0.09399134138313646,8.882094816193917e-9
bn_business_knowledge,Business knowledge,Drop_huge,0.5593458618647812,0.11828196535932924,2.5016740297611826e-6
bn_business_attitude,Business attitudes,Base_Linear,-0.10355310296583092,0.08346684364538233,0.21493428616138158
bn_business_attitude,Business attitudes,Quadratic,-0.1344288463180753,0.13788249225846652,0.32974522917503746
bn_business_attitude,Business attitudes,Cubic,-0.012667381777902687,0.2890786827548466,0.9650539956945072
bn_business_attitude,Business attitudes,Drop_lower,-0.06908846177045225,0.1130429680467126,0.5411921651833616
bn_business_attitude,Business attitudes,Drop_mid,-0.08497562452960454,0.09537896683584479,0.3731317159727118
bn_business_attitude,Business attitudes,Drop_upper,-0.11696849079314685,0.08636243514548848,0.17584368522467692
bn_business_attitude,Business attitudes,Drop_huge,-0.13878220820038312,0.11246417727514608,0.21741989488227095
