term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_GD_main_employ,-1.9720156467126415,17.046395037227324,-0.1156852016162943,0.9079162236201791,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,1
treat_GD_huge_employ,0.2569718395963445,22.836614747500928,0.011252624017947565,0.9910232656309622,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,1
treat_combined_employ,-1.7063902214513016,21.34834994114453,-0.07993077807679118,0.9363020806822546,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,1
employ,0.2915465268363455,12.350039620003358,0.023606930488233223,0.981169021087293,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03252721320316021,0.6492775224306895,1
treat_HD,0.1023839229929604,0.2695312283141822,0.37985922311612585,0.7040991921021439,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,1
treat_GD_main,0.7281824946214801,0.26233464681299334,2.7757770598275906,0.005569662059035479,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,0.02400000000000002
treat_GD_huge,0.7744238894661098,0.36660261850419223,2.1124341463405396,0.03480030948355982,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,0.125
treat_combined,1.0411303072060818,0.3126076783688363,3.3304694006194047,8.862778597972654e-4,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,0.006000000000000005
treat_HD_employ,2.9437035354563914,2.5607629903618507,1.149541580589787,0.2505006486613802,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,0.601
treat_GD_main_employ,2.9957671192589155,2.468987463830748,1.2133585784234175,0.22516779958627903,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,0.601
treat_GD_huge_employ,2.3779438209951715,3.2339105932357004,0.7353152638075598,0.46225284591827565,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,1
treat_combined_employ,2.675756281946193,3.1086766703455178,0.8607380456999385,0.3895083806428774,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,1
employ,1.0231812304484738,1.9841942798049177,0.5156658502962074,0.606157443438953,bn_monthly_income,Monthly income,8.052206556687258,1770,0.034337398264630004,0.7704820790623272,1
treat_HD,1.2076159325637759,0.3721261944603518,3.2451785188490443,0.0011974665165363457,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.007000000000000006
treat_GD_main,3.6843138830812356,0.3584000685517771,10.279891680737704,4.596611750863166e-24,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.0010000000000000009
treat_GD_huge,3.839384767185868,0.487645371400064,7.873313256645348,6.235957638449773e-15,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.0010000000000000009
treat_combined,4.297923146779146,0.42227954564747255,10.177909849242706,1.2366611725536627e-23,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.0010000000000000009
treat_HD_employ,4.687666889900504,3.64420688002443,1.2863339113911882,0.19850844669543397,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.601
treat_GD_main_employ,1.7198710310219032,3.501027026613426,0.4912475733400863,0.6233172077566297,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,1
treat_GD_huge_employ,5.245551147207981,4.41874960418134,1.1871121057061622,0.2353556381400519,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.601
treat_combined_employ,7.594914016666005,4.225686825494109,1.7973206085327755,0.07246898043544833,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,0.22599999999999998
employ,-1.4105305133142112,2.8738541203833825,-0.49081493152687977,0.6236231344412478,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11073965800722951,0.35421802863310714,1
treat_HD,0.07905059358137402,0.06373740931242076,1.2402542625147006,0.21506253164859354,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.601
treat_GD_main,0.24542444492597323,0.061309039462827196,4.0030711144117435,6.537534531280446e-5,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.0010000000000000009
treat_GD_huge,0.33903433993664556,0.07805968293688345,4.3432707792417995,1.4916087552898634e-5,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.0010000000000000009
treat_combined,0.25829762442219856,0.07977522634075605,3.23781750638842,0.0012290582497087555,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.007000000000000006
treat_HD_employ,0.14997211381291242,0.6177241402656026,0.2427816949948386,0.8082055185681296,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,1
treat_GD_main_employ,0.2615862138872842,0.594063762282019,0.4403335643339608,0.6597547913646116,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,1
treat_GD_huge_employ,-0.8807296083776732,0.7949683214714769,-1.1078801313081925,0.26807948019932365,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.601
treat_combined_employ,1.5071483739730627,0.7610893759628161,1.9802514942038767,0.047845703310148924,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,0.16300000000000003
employ,-0.23664687080609692,0.4950138483766019,-0.47806111199147344,0.6326717732648731,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10389271064735983,0.10056456072934575,1
