term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_GD_main_female,1.1678216060852902,0.7293699656527454,1.601137503708636,0.10953941125256633,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.33099999999999996
treat_GD_huge_female,1.0213167771641671,0.9906962473754871,1.0309080910216413,0.3027362069378677,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.7030000000000001
treat_combined_female,1.2537117627943781,0.8918641780389631,1.405720505056104,0.1599968994231912,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.43899999999999995
female,-1.3164158372801613,0.531574529035015,-2.476446416027297,0.013370172508894038,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11338693757275731,0.42628040117645316,0.050999999999999934
treat_HD,0.008331943809157638,0.09600262705433854,0.08678870635947979,0.9308502837687203,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,1
treat_GD_main,0.28504863724660223,0.0969655226770591,2.939690617622395,0.0033323525538562276,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.017000000000000015
treat_GD_huge,0.35759475449629374,0.11860416725387987,3.0150268980923673,0.0026098542999174377,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.015000000000000013
treat_combined,0.3720811198367297,0.13265071381187707,2.804968847468161,0.005092768830525562,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.02200000000000002
treat_HD_female,0.11118261503631166,0.1251120711394621,0.8886641714401537,0.374316671097478,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.7070000000000001
treat_GD_main_female,-0.06483901179427018,0.12140894649153344,-0.534054644801582,0.5933776406824642,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.956
treat_GD_huge_female,-0.009519496148149925,0.15122714978659957,-0.0629483274767998,0.9498154846083366,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,1
treat_combined_female,-0.20686214337821085,0.16361334340524625,-1.2643354085482115,0.20629312312132386,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.49
female,0.03156765608616724,0.08648610180552234,0.36500264698196366,0.7151574899375168,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.10265671386437458,0.3827187103913343,0.956
