outcome,outcome_label,term,estimate,std.error,p.value,q.value,completion_rate_hd,n,r2,joint_p
completed_WRN,completed_WRN,hh_month_consumption_pc,0.004208040827771799,0.01523665857483564,0.7825023929826769,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_consumption,-0.013924744324913791,0.00587825046443108,0.01814711066663147,0.15200000000000002,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,hh_net_wealth,0.004010320729335461,0.002352813536080482,0.0887902670714291,0.383,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,sav_stock,-0.002846920047241589,0.003643241389308835,0.4348493968235214,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,debt_stock,0.009885342532593145,0.0038152986867062933,0.009794543229225997,0.10699999999999998,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,hh_livestock_wealth,0.002549652423395568,0.0030431937022176335,0.40245238928869187,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_busiknowledge,0.0056461554802621425,0.015392674980963935,0.7138868295864804,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_BYOB,completed_BYOB,ubudehe1,0.012781532564936901,0.03555909327760479,0.7193841348661285,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_female,0.02840081600982044,0.036334099806769146,0.4347129249174333,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_age,0.008537229145837665,0.005155560265721802,0.09824025323297461,0.40700000000000003,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_edyrs,0.004989220833964126,0.008250824255932598,0.5456027490604856,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,hh_members,0.008335339993912292,0.008454816169871936,0.32458018596313476,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_employed,0.08456957885373709,0.061485260625649026,0.16948794658502092,0.596,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_productive_hrs,-0.00468922897196228,0.001498364854026101,0.0018324843505890033,0.06899999999999995,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_monthly_income,3.9582794848045646e-4,0.005493978999219335,0.9425871576396165,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_tot_prod_assetval,-0.0015997760029890064,0.0041269601050917155,0.6984146510840595,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,hh_month_consumption_pc,0.010292356419399467,0.01792068393657523,0.5659529506353654,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_consumption,-0.01092994347105242,0.006396810095300732,0.08801289459070075,0.383,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,hh_net_wealth,0.0049545105823238424,0.002771674395230436,0.07433437388591095,0.383,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,sav_stock,-0.002256812261336963,0.004063147457375257,0.578796889236953,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,debt_stock,0.009563038906350737,0.004214392534938907,0.023601028440181124,0.15900000000000003,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,hh_livestock_wealth,-3.148455049688942e-4,0.003253918892124661,0.9229490078751043,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_BYOB,completed_BYOB,bn_busiknowledge,0.0019468402848138843,0.01786198077765439,0.9132427201260402,1,0.688659793814433,668,0.17695844817528128,0.01083718370475743
completed_TT,completed_TT,ubudehe1,-0.019872171812671507,0.03268961216655852,0.5434721556707638,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_female,-0.0186799838361122,0.03364174365626415,0.5789147410942626,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_age,0.006661386520879338,0.004171870202579028,0.11083104723823538,0.44799999999999995,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_edyrs,0.007346792031241715,0.007327305181796826,0.316414455832239,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,hh_members,0.014630238999606898,0.007901659736106445,0.06456489275028726,0.365,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_employed,0.04502602896501589,0.05902374409477819,0.445843967370095,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_productive_hrs,-0.004380462085579447,0.0014125051799973934,0.002014451773490903,0.06899999999999995,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_monthly_income,-0.0025542819119175964,0.005018899001467688,0.6109795749759802,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_tot_prod_assetval,-0.002664823721379425,0.003966211088038799,0.5019082323601627,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,hh_month_consumption_pc,0.015728052881296396,0.015413476370969929,0.30793051761468915,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_consumption,-0.0021221862782670794,0.005814342304411973,0.7152415230163922,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,hh_net_wealth,0.002641819269886944,0.002366510788304267,0.26470905321095295,0.986,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,sav_stock,-0.0029995888947593834,0.003556258891360593,0.3992907482527086,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,debt_stock,0.008647984492209037,0.0037777371946320333,0.022401583116584908,0.15900000000000003,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,hh_livestock_wealth,-0.003400970206174257,0.0029648669899298144,0.25178462978370614,0.971,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
completed_TT,completed_TT,bn_busiknowledge,-0.015075276408974953,0.015603541466737432,0.3343467465432759,1,0.4824742268041237,668,0.47101178795885634,3.8693031245761535e-4
