term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_GD_main_older,3.6380312945179196,3.408134289177676,1.0674553834543046,0.28592364375624946,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,0.713
treat_GD_huge_older,1.0445306866295971,4.227810983103637,0.2470618224901831,0.8048913590619567,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,1
treat_combined_older,1.5523902236160279,4.1876206681795605,0.3707093709351859,0.7109019732249497,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,1
older,2.474119278909147,2.180359781596455,1.134729827523053,0.2566546604496447,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03640964463425245,0.4622834099789772,0.643
treat_HD,0.263260539910306,0.4274742287788685,0.6158512541500838,0.5380783118524096,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,1
treat_GD_main,0.719082121103485,0.42313485670858086,1.6994159419929977,0.08943082750931806,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,0.31799999999999995
treat_GD_huge,0.879718990767134,0.6197079780061708,1.419570220150327,0.15592323225304702,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,0.474
treat_combined,1.5349483628222709,0.4719842402594346,3.2521178291431068,0.0011687951458906635,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,0.013000000000000012
treat_HD_older,-0.22712596630789858,0.5461431940574284,-0.41587255646367294,0.6775577723510728,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,1
treat_GD_main_older,0.11955518942408916,0.5253208646692817,0.22758507697834485,0.8199972424200273,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,1
treat_GD_huge_older,-0.29398021781631933,0.7447240642976296,-0.3947505282961152,0.6930784332885931,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,1
treat_combined_older,-0.8778329037195178,0.6254877027765654,-1.4034375093591478,0.1606760687761246,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,0.474
older,1.0377350291263931,0.3867743347674014,2.683050388414389,0.007368848236949409,bn_monthly_income,Monthly income,8.052206556687258,1770,0.04228054740660614,0.5674212037636741,0.051999999999999935
treat_HD,1.1714437426412045,0.5558809729215604,2.1073643454360607,0.03523775062961517,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.14600000000000002
treat_GD_main,4.256592923808119,0.5293992291725792,8.040421461249446,1.699926433920176e-15,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.0010000000000000009
treat_GD_huge,4.268233352299384,0.7572173454380247,5.636734786932746,2.0371980242771497e-8,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.0010000000000000009
treat_combined,3.966812036075173,0.6314877013599103,6.281693257893438,4.2823365552812874e-10,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.0010000000000000009
treat_HD_older,0.07764161957587709,0.738571808650689,0.10512399561759884,0.916290297781259,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,1
treat_GD_main_older,-1.0636583394046952,0.7204359964915658,-1.4764092085689497,0.14002640154023677,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.471
treat_GD_huge_older,-0.7614343194615641,0.987872884050577,-0.7707816782453362,0.44094757770290527,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11037704976987817,0.2645902964262872,0.968
