outcome,outcome_label,term,estimate,std.error,p.value,q.value,control_mean,n,r2,joint_p
bn_monthly_income,Monthly income,treat_HD,0.06523619850823366,0.3285910028347367,0.842652974572958,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_monthly_income,Monthly income,treat_GD_lower,-0.027722222557996834,0.47278041440191976,0.953248839606505,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_monthly_income,Monthly income,treat_GD_middle,-0.2359771907384765,0.45940487706348926,0.6075611248508921,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_monthly_income,Monthly income,treat_GD_upper,0.08092698762566942,0.46267949019793386,0.8611727695905057,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_monthly_income,Monthly income,treat_GD_huge,0.1099334641460426,0.4691010687716158,0.8147436099357315,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_monthly_income,Monthly income,treat_combined,0.18190396414898072,0.42370995788024335,0.66775315059734,1,4.365419323688932,1770,0.010065547697599708,0.993215367014633
bn_tot_prod_assetval,Productive assets,treat_HD,-0.5552368801029814,0.2834736279901844,0.05032112204265258,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
bn_tot_prod_assetval,Productive assets,treat_GD_lower,-0.4726457493869206,0.3843138708806873,0.21893511318708656,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
bn_tot_prod_assetval,Productive assets,treat_GD_middle,-0.09977441804328395,0.39183149065965106,0.7990366615974102,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
bn_tot_prod_assetval,Productive assets,treat_GD_upper,-0.30266740746128,0.3983113692540318,0.4474394478751633,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
bn_tot_prod_assetval,Productive assets,treat_GD_huge,-0.4291330146900017,0.3954124299024979,0.27795994323241,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
bn_tot_prod_assetval,Productive assets,treat_combined,-0.13089728106891857,0.3830388436054681,0.7325957961348124,1,2.488527653226957,1770,0.029577141948759045,0.5563692410130089
hh_month_consumption_pc,HH consumption per capita,treat_HD,-0.12460455155325634,0.06709801345533391,0.06348615928063465,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
hh_month_consumption_pc,HH consumption per capita,treat_GD_lower,-0.10735739566900061,0.10230256121512468,0.29414666358435904,1,9.46299787065975,1766,0.050789052117727884,0.36925506815917225
