Variable_baseline, Variable_midline, Label
 , mLhh_val_prod_othertrees, Missing: Value of othertrees owned by HH
hh_val_prod_pangas, Lhh_val_prod_pangas, Value of pangas owned by HH
 , mLhh_val_prod_pangas, Missing: Value of pangas owned by HH
hh_val_prod_pineap, Lhh_val_prod_pineap, Value of pineap owned by HH
 , mLhh_val_prod_pineap, Missing: Value of pineap owned by HH
hh_val_prod_plough, Lhh_val_prod_plough, Value of plough owned by HH
 , mLhh_val_prod_plough, Missing: Value of plough owned by HH
hh_val_prod_pumps, Lhh_val_prod_pumps, Value of pumps owned by HH
 , mLhh_val_prod_pumps, Missing: Value of pumps owned by HH
hh_val_prod_refrig, Lhh_val_prod_refrig, Value of refrig owned by HH
 , mLhh_val_prod_refrig, Missing: Value of refrig owned by HH
hh_val_prod_satell, Lhh_val_prod_satell, Value of satell owned by HH
 , mLhh_val_prod_satell, Missing: Value of satell owned by HH
hh_val_prod_setso, Lhh_val_prod_setso, Value of setso owned by HH
 , mLhh_val_prod_setso, Missing: Value of setso owned by HH
hh_val_prod_sewing, Lhh_val_prod_sewing, Value of sewing owned by HH
 , mLhh_val_prod_sewing, Missing: Value of sewing owned by HH
hh_val_prod_solar, Lhh_val_prod_solar, Value of solar owned by HH
 , mLhh_val_prod_solar, Missing: Value of solar owned by HH
hh_val_prod_sound, Lhh_val_prod_sound, Value of sound owned by HH
 , mLhh_val_prod_sound, Missing: Value of sound owned by HH
hh_val_prod_speaker, Lhh_val_prod_speaker, Value of speaker owned by HH
 , mLhh_val_prod_speaker, Missing: Value of speaker owned by HH
hh_val_prod_spray, Lhh_val_prod_spray, Value of spray owned by HH
 , mLhh_val_prod_spray, Missing: Value of spray owned by HH
hh_val_prod_sprayi, Lhh_val_prod_sprayi, Value of sprayi owned by HH
 , mLhh_val_prod_sprayi, Missing: Value of sprayi owned by HH
hh_val_prod_stove, Lhh_val_prod_stove, Value of stove owned by HH
 , mLhh_val_prod_stove, Missing: Value of stove owned by HH
hh_val_prod_tracto, Lhh_val_prod_tracto, Value of tracto owned by HH
 , mLhh_val_prod_tracto, Missing: Value of tracto owned by HH
hh_val_prod_washb, Lhh_val_prod_washb, Value of washb owned by HH
