"group","variable","estimate","se","p","stars","joint_p","n"
"Men","ed_12",0.0902570526382498,0.229845567008818,0.696254793512956,"",,94
"Men","ed_mas_12",,,,"",,94
"Men","lb_years_education",0.0103721634380888,0.0646133627111411,0.87312624477646,"",,94
"Men","lb_employ",-0.00673370308536339,0.261019654922558,0.979523485842934,"",,94
"Men","lb_cont_formal",-0.0875166211061284,0.219607184989845,0.691982341558465,"",,94
"Men","fonasa_2",0.280701822311058,0.255323659815264,0.276967674689412,"",,94
"Men","fonasa_3",0.0251166031525701,0.257958864004296,0.922832370806366,"",,94
"Men","fonasa_4",0.253358020421818,0.216078546289375,0.246654383459178,"",,94
"Men","sd_ohip0",0.0563823509375417,0.0853823500434238,0.512120883720755,"",,94
"Men","sd_rosen0",0.140971564917983,0.137496692084663,0.31026969793711,"",,94
"Men","lb_dientes_falt_tot",0.0168740660025135,0.0186474219926312,0.3699458572262,"",,94
"Men","lb_dientes_falt_front",-0.0261566809133127,0.0513424810588087,0.612720212553965,"",,94
"Men","lb_prosthesis_up",-0.504922167606851,0.280979123011207,0.0784987291305528,"*",,94
"Men","lb_prosthesis_down",-0.302340394016991,0.246032390734777,0.224991836334499,"",,94
"Men","lb_ingreso_th",-0.000684967868474124,0.000903711468752195,0.452111102328992,"",,94
"Women","edad",-0.0100385892363906,0.0112401429206889,0.372988681044997,"",,234
"Women","lb_genero",,,,"",,234
"Women","casado_o_convive",0.00565949501562459,0.0796023234032942,0.943398964591679,"",,234
"Women","lb_jefe_hogar",-0.122829007948501,0.0895267860511299,0.171767553624164,"",,234
"Women","lb_residentes_menores",-0.0516418187622147,0.0678573500092708,0.447626497341585,"",,234
"Women","lb_residentes_ninos",-0.0147241141888497,0.0371038716041036,0.691956656876703,"",,234
"Women","lb_residentes_adulto",-0.0114152245001979,0.0343237817241473,0.739840136679014,"",,234
"Women","ad_mayor",0.0319697858567813,0.0787998276081633,0.685435740569189,"",,234
"Women","ed_8menos",0.0841884532620687,0.291543219857483,0.773089107197729,"",,234
"Women","ed_9_11",0.0224070043281685,0.202997285050622,0.912229666913216,"",,234
"Women","ed_12",0.149299652748307,0.141181976322664,0.291693707734716,"",,234
"Women","ed_mas_12",,,,"",,234
"Women","lb_years_education",-0.0152986904736899,0.0369573022221616,0.679396563869513,"",,234
"Women","lb_employ",0.00205447042389272,0.0968319046927421,0.983096024020606,"",,234
"Women","lb_cont_formal",-0.081154106665328,0.101092564309996,0.423160366258072,"",,234
"Women","fonasa_2",0.140662300210101,0.0931182445061235,0.132640011462313,"",,234
"Women","fonasa_3",0.155974712845382,0.102075192594268,0.128248908068972,"",,234
"Women","fonasa_4",0.1218570565303,0.174840772697312,0.486721886375191,"",,234
"Women","sd_ohip0",-0.0162735946408327,0.0523917081441016,0.756451526461392,"",,234
"Women","sd_rosen0",0.0745745217489154,0.0803382289977187,0.354510497616948,"",,234
"Women","lb_dientes_falt_tot",0.00319427059735721,0.0115007915796541,0.781526223975508,"",,234
"Women","lb_dientes_falt_front",0.0067830539249886,0.0251810665619427,0.787950883347244,"",,234
"Women","lb_prosthesis_up",-0.131300461196319,0.146946429625829,0.372762043963977,"",,234
"Women","lb_prosthesis_down",0.15252142260337,0.145789700172638,0.29687569814265,"",,234
"Women","lb_ingreso_th",0.000131860738153168,0.000191582229632117,0.492162502425935,"",,234
