"outcome","group","control_mean","estimate","se","p","stars","n","panel"
"SEG2_e1_7","Men",0.4,0.143964734627602,0.103505760261089,0.166899526034378,"",150,"Complementary Investments"
"SEG2_e1_7","Women",0.453900709219858,0.102955990099241,0.0508955241093269,0.0438274833085276,"**",397,"Complementary Investments"
"SEG2_e1_8","All",0.040133779264214,-0.000206964803501157,0.0175818251648626,0.990612664938519,"",547,"Complementary Investments"
"SEG2_e1_8","Men",0.0307692307692308,0.00714557266045332,0.0255716752896629,0.78040583591846,"",150,"Complementary Investments"
"SEG2_e1_8","Women",0.0425531914893617,-0.0065911986513518,0.0226239825811258,0.770962471542163,"",397,"Complementary Investments"
"SEG2_e1_9","All",0.00334448160535117,-0.00367932261531315,0.00370781476002326,0.32153035229764,"",547,"Complementary Investments"
"SEG2_e1_9","Men",0,0,0,,"",150,"Complementary Investments"
"SEG2_e1_9","Women",0,-0.00499267570550971,0.00503099663659974,0.321680974052794,"",397,"Complementary Investments"
"Qd_act_1","All",0.638297872340426,0.0544393698439437,0.0541825429463042,0.315865460866877,"",341,"Quality of Interactions"
"Qd_act_1","Men",0.605263157894737,0.0145598095257608,0.112293643086717,0.897139506508867,"",117,"Quality of Interactions"
"Qd_act_1","Women",0.648148148148148,0.0726891510303407,0.0671850581772958,0.280664621425445,"",224,"Quality of Interactions"
"Qd_act_2","All",0.473404255319149,0.12228023786991,0.0577385515433897,0.0350464127529821,"**",341,"Quality of Interactions"
"Qd_act_2","Men",0.5,0.0503639278731148,0.118674141480431,0.672342364889951,"",117,"Quality of Interactions"
"Qd_act_2","Women",0.518518518518518,0.104942505802727,0.0713576726498708,0.143047364618355,"",224,"Quality of Interactions"
"Qd_act_3","All",0.414893617021277,0.0416531641457349,0.0572592803534016,0.467542337105354,"",341,"Quality of Interactions"
"Qd_act_3","Men",0.342105263157895,-0.217366803569878,0.10877682077507,0.04884533119402,"**",117,"Quality of Interactions"
"Qd_act_3","Women",0.37037037037037,0.11746765914191,0.0681259841365119,0.0862939498276981,"*",224,"Quality of Interactions"
"Qnd_act_4","All",0.75531914893617,0.11984458516911,0.044359256411351,0.00730806904595016,"***",341,"Quality of Interactions"
"Qnd_act_4","Men",0.763157894736842,-0.00462142891291046,0.08391482765868,0.956208165995135,"",117,"Quality of Interactions"
"Qnd_act_4","Women",0.777777777777778,0.176537776274281,0.0579052561171659,0.00262754741801541,"***",224,"Quality of Interactions"
"Qnd_act_5","All",0.851063829787234,0.0751403518608307,0.0380876147240623,0.0494712083547831,"**",341,"Quality of Interactions"
"Qnd_act_5","Men",0.789473684210526,0.0612988979001696,0.0935848982690379,0.514210510355268,"",117,"Quality of Interactions"
"Qnd_act_5","Women",0.87037037037037,0.0792184348682215,0.0425641223898067,0.0642752426602704,"*",224,"Quality of Interactions"
"Qnd_act_6","All",0.877659574468085,0.0726184532801818,0.030841080502469,0.0192138247386827,"**",341,"Quality of Interactions"
"Qnd_act_6","Men",0.842105263157895,-0.0108771265054961,0.0548421872116214,0.843251048893719,"",117,"Quality of Interactions"
"Qnd_act_6","Women",0.851851851851852,0.119557994793318,0.0412279027578727,0.00417473135756789,"***",224,"Quality of Interactions"
"Qnd_act_7","All",1,-0.00806689710302482,0.0083729679827837,0.336132320356959,"",341,"Quality of Interactions"
"Qnd_act_7","Men",1,0.000000000000000289465000742749,0.000000000000000315121240165019,0.360882920555703,"",117,"Quality of Interactions"
"Qnd_act_7","Women",1,-0.0122935917705445,0.0126771011292116,0.333411551678372,"",224,"Quality of Interactions"
"sd_cs4_mean","All",-0.000000000000000281724688380814,0.157079445329448,0.0848010245942207,0.0645986917634919,"*",527,"Appearance"
"sd_cs4_mean","Men",0.223893035788724,-0.0535967647989143,0.160089438704355,0.738391386942711,"",145,"Appearance"
"sd_cs4_mean","Women",-0.0073058098895562,0.262255441214245,0.0995823512235938,0.00883005015748311,"***",382,"Appearance"
"sd_hi4_mean","All",-0.000000000000000243573207203059,-0.000820536040809392,0.0872911080009426,0.992503945560557,"",527,"Appearance"
"sd_hi4_mean","Men",0.167193679876731,-0.0997994789468643,0.171415563886228,0.561566409635799,"",145,"Appearance"
"sd_hi4_mean","Women",0.00452273717098566,0.0579052128463319,0.10005938485443,0.56316350853831,"",382,"Appearance"
"sd_ap4_mean","All",-0.0000000000000000502696749221236,0.182717798469708,0.0898584694763484,0.0425679726344031,"**",527,"Appearance"
"sd_ap4_mean","Men",0.176555319697862,0.0224849594852912,0.160774718545224,0.88902013020335,"",145,"Appearance"
"sd_ap4_mean","Women",0.000468113449601211,0.283355584674554,0.10736887223416,0.00869011112778624,"***",382,"Appearance"
"sd_sr4_mean","All",-0.000000000000000199246825480216,0.0609660617790343,0.0844307774791111,0.47059853112913,"",527,"Appearance"
"sd_sr4_mean","Men",0.0943012168107435,-0.00469603637477883,0.130770312071644,0.971415927697838,"",145,"Appearance"
"sd_sr4_mean","Women",0.0324152410467499,0.0978830580077224,0.103300921483035,0.344020479813107,"",382,"Appearance"
