term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,joint_p,q.value
treat_GD_lower,0.03428043952751286,0.043111182631280345,0.795163515246271,0.4266336652996615,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,1
treat_GD_middle,0.07777708863774326,0.04392503895520527,1.7706777384320658,0.07680037346205487,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,0.942
treat_GD_upper,0.023939587928959873,0.0426707743922707,0.5610300790157735,0.5748538161939305,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,1
treat_GD_huge,0.015603100059289658,0.040885561472449865,0.38162861160176503,0.7027863874769967,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,1
treat_combined,0.04046322572324769,0.039097906668100334,1.0349205154827716,0.30085888989221626,bn_employed_20,Employed (20 hr),0.2883817427385892,1770,0.1793490168604115,0.662775675785362,1
treat_HD,0.02752728666920156,0.027073109007165554,1.0167759699085834,0.3094102648449825,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,1
treat_GD_lower,0.030469838285952868,0.03874706658138437,0.7863779370743846,0.43175992264899365,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,1
treat_GD_middle,0.08690382156675779,0.042139994073822545,2.0622646841030914,0.03934002589818424,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,0.942
treat_GD_upper,0.05211917944625312,0.03918453957082258,1.3300954921788049,0.18367208948907565,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,0.942
treat_GD_huge,0.006327354483480679,0.035955983879826736,0.17597500612493794,0.8603353437420198,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,1
treat_combined,0.054805878412056884,0.03552715066466534,1.5426477324162622,0.12310954660933525,bn_employed_30,Employed (30 hr),0.1908713692946058,1770,0.17337276575262195,0.3781124534035598,0.942
treat_HD,0.028614589364492723,0.02341818423691033,1.2218961587718715,0.22192281796925734,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,0.981
treat_GD_lower,0.027168922346968695,0.03311533478238802,0.8204332683182822,0.4120886044202431,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,1
treat_GD_middle,0.09046927251412824,0.036629883166819255,2.4698214870660236,0.013619383213921017,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,0.6910000000000001
treat_GD_upper,-2.509807971712392e-4,0.03436785499031813,-0.0073027774716211925,0.9941741682060057,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,1
treat_GD_huge,0.02244517458854343,0.030519346904628677,0.7354408552281082,0.46217640035227014,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,1
treat_combined,0.0394238547367911,0.03079278865266881,1.2802950450989516,0.20062277325144967,bn_employed_40,Employed (40 hr),0.12863070539419086,1770,0.17047436364241697,0.2960096305770286,0.942
