"id_key_new","cs4"
"5000385154",4
"5000385156",4
"5000385157",4
"5000385158",4
"5000385175",1
"5000385179",3
"5000385184",4
"5000385187",1
"5000385189",4
"5000385193",4
"5000385342",2
"5000385468",4
"5000385933",4
"5000385945",2
"5000385956",1
"5000385965",4
"5000385970",1
"5000385977",1
"5000385978",1
"5000386085",1
"5000386162",4
"5000386170",1
"5000386181",1
"5000386184",1
"5000386185",1
"50003862108",1
"5000386260",4
"5000386266",1
"5000386293",4
"500038644",1
"5000386442",4
"5000386446",4
"5000386456",4
"5000386474",1
"5000386480",4
"5000386511",4
"5000386523",4
"5000386536",4
"5000386569",4
"5000386585",4
"5000386618",1
"5000386649",1
"5000386675",4
"5000386677",4
"5000386685",4
"5000386686",1
"5000386779",2
"500038681",4
"5000386840",4
"5000386850",4
"5000386861",2
"5000386866",4
"5000386868",1
"500038712",1
"5000387122",2
"5000387137",2
"5000387138",1
"5000387160",4
"5000387169",4
"5000387171",4
"5000387180",1
"5000387182",4
"5000387223",2
"5000387238",4
"5000387240",3
"5000387243",2
"5000387247",1
"5000387249",1
"5000387313",2
"500038732",4
"5000387364",4
"5000387365",4
"5000387378",4
"5000387380",4
"500038762",4
"500038763",2
"500038771",4
"500038774",4
"5000387820",2
"500038783",4
"5000387830",4
"5000387836",2
"5000387839",4
"500038784",1
"5000387851",2
"5000387854",4
"5000387855",1
"5000387856",4
"5000387859",4
"5000387881",4
"5000387885",4
"500038822",1
"5000388255",4
"5000388348",4
"5000388368",1
"5000388371",4
"50003883850011",4
"5000388386",4
"5000388387",4
"5000388650",4
"5000388727",4
"5000388731",4
"5000388737",1
"50003888100",4
"5000388839",4
"5000388893",1
"5000388895",4
"5000389033",4
"5000389052",4
"5000389170",4
"5000389223",1
"5000389235",4
"5000389238",4
"5000389247",1
"5000389437",4
"5000389449",1
"5000389450",4
"5000389529",1
"5000389535",4
"5000389537",2
"5000389549",4
"5000389752",4
"5000389753",4
"5000389920",4
"5000389921",4
"5000389935",4
"5000389944",1
"5000389953",4
"5000389963",1
"500038997",1
"5000389972",4
"5000389973",4
"50003899740017",4
"50004010014",3
"5000401003",4
"50004010113",2
"5000401012",2
"50004010135",4
"50004010140",1
"50004010141",4
"50004010144",3
"50004010145",4
"50004010146",1
"50004010152",1
"50004010154",3
"50004010155",3
"50004010325",2
"5000401034",4
"5000401036",1
"50004010417",1
"5000401044",2
"50004010520",4
"50004010521",4
"50004010524",1
"50004010526",1
"50004010540",1
"5000401055",3
"50004010718",1
"50004010730",4
"50004010738",4
"50004010822",1
"5000401084",1
"5000401116",4
"50004011218",2
"5000401122",4
"50004011320",1
"50004011326",4
"50004011331",4
"5000401134",1
"5000401138",1
"5000401148",4
"50004011514",3
"5000401152",2
"50004011520017",2
"50004011522",1
"50004011523",2
"50004011524",4
"50004011526",4
"50004011529",4
"5000401153",1
"50004011531",4
"50004011533",1
"5000401156",1
"5000401157",4
"5000401159",3
"50004011590010",4
"5000401163",4
"5000401167",4
"50004011810",4
"50004011812",1
"5000401183",1
"5000401184",4
"5000401185",4
"500040119",1
"500040148",1
"5000401510009",2
"5000401522",4
"5000401566",4
"5000401588",2
"5000401596",1
"500040166",4
"5000401674",4
"500040169",2
"5000401711",1
"5000401735",2
"5000401742",2
"5000401743",3
"5000401762",1
"5000401772",1
"5000401787",1
"5000401788",1
"5000401789",1
"5000401790",3
"5000401791",1
"5000401810",1
"500040181131",4
"50004018114",4
"50004018115",4
"5000401834",1
"5000401849",1
"5000401860",2
