"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","specification"
"A5_bins_lnpart5revenue","lnpart5revenue","interpost_bin4",-0.0743221278660498,0.0358538045940793,-2.07292165245757,0.0415253050296572,8612,,"Firm FE",,"competitor-treatment bins"
"A5_market_saturation_total_profit","total_profit","postmarket50T",12.9712028139292,3.32125608938226,3.90551118758862,0.000200385231834663,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_total_profit","total_profit","postmarket80T",13.1952012003576,3.06895728068921,4.29957148096708,0.0000495994224078464,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_total_profit","total_profit","postmarket50",-9.16820230317072,2.91657112344474,-3.14348662011788,0.0023712157457242,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_total_profit","total_profit","postmarket80",-8.11704179683822,3.97463416208861,-2.04221104781448,0.0445544541206434,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_total_profit","total_profit","post",4.21316380044423,1.95868181102286,2.15102002618998,0.0346110071447986,8612,,"Firm FE",,"50/80 market saturation"
"A5_followup_total_profit","total_profit","type",12.6572508247225,2.72350513142693,4.64741214498499,0.0000136489412244084,5439,,,,"follow-up with baseline outcome"
"A5_followup_total_profit","total_profit","treatratio_comp",-10.5641928060864,4.65243958306592,-2.27067812863992,0.0259617059108028,5439,,,,"follow-up with baseline outcome"
"A5_bins_total_profit","total_profit","interpost",14.3102495164721,3.40025103574288,4.20858617968059,0.0000689122724975786,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_total_profit","total_profit","interpost_bin2",-6.62788045849521,3.59521062261787,-1.84353050605672,0.0690991836364872,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_total_profit","total_profit","interpost_bin3",-9.90367231402168,4.94593911136496,-2.00238460098805,0.0487642789166204,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_total_profit","total_profit","interpost_bin4",-10.0746939278757,4.56269166147753,-2.20805933763519,0.0302161642910931,8612,,"Firm FE",,"competitor-treatment bins"
"A5_market_saturation_lnlabor","lnlabor","postmarket50T",0.0718887726226343,0.0600036699432868,1.19807292938217,0.234563381343694,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnlabor","lnlabor","postmarket80T",0.0719292592571176,0.0370692649819832,1.94040155077468,0.0559917949805428,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnlabor","lnlabor","postmarket50",-0.047645389920957,0.0496773858879999,-0.959096157522778,0.340512238167749,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnlabor","lnlabor","postmarket80",-0.0481682541374633,0.0411798759627877,-1.16970372084148,0.245728195682797,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnlabor","lnlabor","post",0.0413508042744717,0.0164769920748723,2.50960879792692,0.0141857943106149,8612,,"Firm FE",,"50/80 market saturation"
"A5_followup_lnlabor","lnlabor","type",0.0776417449017924,0.0254817448046371,3.04695559495845,0.00316584451018762,5439,,,,"follow-up with baseline outcome"
"A5_followup_lnlabor","lnlabor","treatratio_comp",-0.0715968528254254,0.0355459581033127,-2.0142051767836,0.0474806262568846,5439,,,,"follow-up with baseline outcome"
"A5_bins_lnlabor","lnlabor","interpost",0.0751771496293154,0.0302938227979829,2.48159996612646,0.0152585785772187,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_lnlabor","lnlabor","interpost_bin2",-0.0118825620061673,0.0411672152848481,-0.288641384265327,0.773631441262597,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_lnlabor","lnlabor","interpost_bin3",-0.0514242477814257,0.0325792444869327,-1.57843585974044,0.118565154807089,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_lnlabor","lnlabor","interpost_bin4",-0.0568363241080826,0.0378175541408624,-1.50290851429417,0.136953031330458,8612,,"Firm FE",,"competitor-treatment bins"
